性別,来店距離,購入パターン,入院歴
男,1.2,ABCAAA,あり
男,10.5,BCDADD,あり
男,0.5,AAAA,なし
男,2.0,BBCC,なし
男,3.1,DEDDA,あり
女,0.7,CCCAA,なし
女,1.5,DDDEEE,あり
女,2.6,BACD,あり
女,3.5,ABBB,あり
女,4.0,DDDD,あり
女,2.1,DEDE,なし
男,1.2,ABCAAA,あり
男,10.5,BCDADD,あり
男,0.5,AAAA,なし
男,2.0,BBCC,なし
男,3.1,DEDDA,あり
男,0.7,CCCAA,なし
男,1.5,DDDEEE,なし
男,2.6,BACD,あり
男,3.5,ABBB,あり
男,4.0,DDDD,あり
男,2.1,DEDE,なし
男,1.2,ABCAAA,あり
男,10.5,BCDADDA,あり
男,0.5,AAAAA,なし
男,2.0,BBCCA,なし
男,3.1,DEDDA,あり
男,0.7,CCCAA,なし
男,1.5,ADDDEEE,あり
男,2.6,BACD,あり
男,3.5,ABBB,あり
男,4.0,DDDD,あり
女,2.1,DEDE,なし
女,1.2,ABCAAA,あり
女,10.5,BCDADD,あり
女,0.5,AAAA,なし
女,2.0,BBCC,なし
女,3.1,DEDDA,あり
女,0.7,CCCAA,なし
女,1.5,DDDEEE,あり
女,2.6,BACD,あり
女,3.5,ABBB,あり
女,4.0,DDDD,あり
女,2.1,DEDE,なし
女,1.2,ABCAAA,あり
女,10.5,BCDADD,あり
女,0.5,AAAA,なし
女,2.0,BBCC,なし
女,3.1,DEDDA,あり
女,0.7,CCCAA,なし
女,1.5,DDDEEE,あり
女,2.6,BACD,あり
女,3.5,ABBB,あり
女,1.0,DDDD,あり
女,2.5,DEDE,なし
女,2.5,ABBB,あり
女,1.0,DDDD,あり
女,1.1,DEDE,なし
女,2.2,ABCAAA,あり
女,10.5,BCDADD,あり
女,1.5,AAAA,なし
女,2.6,BBCC,なし
女,3.3,DEDDA,あり
女,1.7,CCCAA,なし
女,1.5,DDDEEE,あり
女,2.6,BACD,あり
女,3.9,ABBB,あり
女,4.5,DDDD,あり
女,2.1,DEDE,なし
女,3.9,BABB,あり
男,4.5,BAA,なし
女,2.1,DEDE,なし
男,3.9,BABB,あり
女,3.9,BABB,あり
男,4.5,BAA,なし
女,2.1,DEDE,なし
男,3.9,BABB,あり
女,3.9,BABB,あり
男,4.5,BAA,なし
女,2.1,DEDE,なし
男,3.9,BABB,あり
